CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_7D,COUNT_7D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
68,1,0.68038803,"Flagged due to: amount is 15.7x higher than customer's average transaction size, and high 24-hour transaction volume sum (91,642,000.00), and high historical average transaction size (2,419,415.57).","TRANS_AMOUNT_Z_SCORE (+1.7138), SUM_AMOUNT_24H (+1.2757), HIST_AVG_TRANS_AMOUNT (+0.3455)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5239), SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.3522), HIST_TRANS_COUNT × TRANS_AMOUNT_Z_SCORE (+0.2967)","TRANS_AMOUNT_Z_SCORE: 15.74 → 8.30 (-7.44), SUM_AMOUNT_24H: 91,642,000.00 → 49,499,961.25 (-42,142,038.75)",Transfer,Within_bank,2019-11-16,Sat,14,2,38080000.0,F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,91642000.0,4,124413655.0,16,2590897.7536363634,2419415.565217391,253,0.01946027971060948,-1.2412287000063138
68,1,0.532894,"Flagged due to: high 24-hour transaction volume sum (101,928,000.00), and high 24-hour transaction count (7 transfers), and sudden transaction volume spike (24h sum is 75.7% of 7d sum).","SUM_AMOUNT_24H (+1.9680), COUNT_24H (+1.3427), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.3645)","SUM_AMOUNT_24H × COUNT_24H (+0.9209), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.4146), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.2848)","SUM_AMOUNT_24H: 101,928,000.00 → 80,999,912.31 (-20,928,087.69), VELOCITY_RATIO_AMOUNT_24H_VS_7D: 0.76 → 0.67 (-0.09)",Transfer,Outside_bank,2019-11-16,Sat,21,2,3286000.0,F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,101928000.0,7,134699655.0,19,2590897.7536363634,2419415.565217391,253,0.01946027971060948,-1.2412287000063138
68,1,0.82476515,"Flagged due to: high 24-hour transaction volume sum (103,276,000.00), and high 24-hour transaction count (7 transfers), and sudden transaction volume spike (24h sum is 74.4% of 7d sum).","SUM_AMOUNT_24H (+2.0540), COUNT_24H (+1.4208), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.3952)","SUM_AMOUNT_24H × COUNT_24H (+0.9257), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5030), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.3179)","SUM_AMOUNT_24H: 103,276,000.00 → 49,499,943.38 (-53,776,056.62), COUNT_24H: 7.00 → 6.00 (-1.00), VELOCITY_RATIO_AMOUNT_24H_VS_7D: 0.74 → 0.29 (-0.45)",Transfer,Within_bank,2019-11-16,Sat,23,2,4110000.0,F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,103276000.0,7,138809655.0,20,2590897.7536363634,2419415.565217391,253,0.01946027971060948,-1.2412287000063138
88,1,1.0,"Flagged due to: high 24-hour transaction volume sum (55,701,000.00), and high 24-hour transaction count (6 transfers), and unusual transaction sequence position (transaction number: 6).","SUM_AMOUNT_24H (+2.3268), COUNT_24H (+1.3402), TRANS_NO (+0.8901)","TRANS_NO × SUM_AMOUNT_24H (+0.5745), SUM_AMOUNT_24H × COUNT_24H (+0.5055), COUNT_24H × VELOCITY_RATIO_COUNT_24H_VS_7D (+0.4497)","SUM_AMOUNT_24H: 55,701,000.00 → 37,899,964.15 (-17,801,035.85)",Transfer,Within_bank,2019-09-03,Tue,16,6,18294000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,55701000.0,6,55701000.0,6,8844481.102,4369996.853994491,363,0.03889746598194542,-1.441169318574772
88,1,0.98185974,"Flagged due to: high 24-hour transaction volume sum (58,179,000.00), and high 24-hour transaction count (8 transfers), and sudden transaction volume spike (24h sum is 100.0% of 7d sum).","SUM_AMOUNT_24H (+1.7761), COUNT_24H (+1.6920), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.7147)","COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6849), COUNT_24H × VELOCITY_RATIO_COUNT_24H_VS_7D (+0.5697), SUM_AMOUNT_24H × COUNT_24H (+0.4550)","SUM_AMOUNT_24H: 58,179,000.00 → 49,499,943.91 (-8,679,056.09), COUNT_24H: 8.00 → 6.00 (-2.00), VELOCITY_RATIO_AMOUNT_24H_VS_7D: 1.00 → 0.66 (-0.34)",Transfer,Within_bank,2019-09-03,Tue,17,1,1648000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,58179000.0,8,58179000.0,8,8844481.102,4369996.853994491,363,0.03889746598194542,-1.441169318574772
88,1,0.98185974,"Flagged due to: high 24-hour transaction volume sum (58,179,000.00), and high 24-hour transaction count (8 transfers), and sudden transaction volume spike (24h sum is 100.0% of 7d sum).","SUM_AMOUNT_24H (+1.7738), COUNT_24H (+1.6928), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.7127)","COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6826), COUNT_24H × VELOCITY_RATIO_COUNT_24H_VS_7D (+0.5697), SUM_AMOUNT_24H × COUNT_24H (+0.4548)","SUM_AMOUNT_24H: 58,179,000.00 → 49,499,943.91 (-8,679,056.09), COUNT_24H: 8.00 → 6.00 (-2.00), VELOCITY_RATIO_AMOUNT_24H_VS_7D: 1.00 → 0.66 (-0.34)",Transfer,Outside_bank,2019-09-03,Tue,17,1,830000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,58179000.0,8,58179000.0,8,8844481.102,4369996.853994491,363,0.03889746598194542,-1.441169318574772
88,1,1.0,"Flagged due to: high 24-hour transaction volume sum (61,439,000.00), and high 24-hour transaction count (9 transfers), and sudden transaction volume spike (24h sum is 100.0% of 7d sum).","SUM_AMOUNT_24H (+1.7775), COUNT_24H (+1.6835), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6620)","COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6481), COUNT_24H × VELOCITY_RATIO_COUNT_24H_VS_7D (+0.5659), SUM_AMOUNT_24H × COUNT_24H (+0.4561)","SUM_AMOUNT_24H: 61,439,000.00 → 49,499,956.24 (-11,939,043.76), COUNT_24H: 9.00 → 6.00 (-3.00), VELOCITY_RATIO_AMOUNT_24H_VS_7D: 1.00 → 0.60 (-0.40)",Transfer,Within_bank,2019-09-04,Wed,10,1,3260000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,61439000.0,9,61439000.0,9,8844481.102,4369996.853994491,363,0.03889746598194542,-1.441169318574772
88,1,1.0,"Flagged due to: high 24-hour transaction volume sum (52,621,512.00), and high 24-hour transaction count (10 transfers), and sudden transaction volume spike (24h sum is 73.9% of 7d sum).","SUM_AMOUNT_24H (+1.7828), COUNT_24H (+1.6807), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6830)","COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6815), COUNT_24H × VELOCITY_RATIO_COUNT_24H_VS_7D (+0.5697), SUM_AMOUNT_24H × COUNT_24H (+0.4539)","SUM_AMOUNT_24H: 52,621,512.00 → 49,499,980.30 (-3,121,531.70), COUNT_24H: 10.00 → 6.00 (-4.00), VELOCITY_RATIO_AMOUNT_24H_VS_7D: 0.74 → 0.66 (-0.08)",Transfer,Outside_bank,2019-09-04,Wed,13,1,1483512.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,52621512.0,10,71221512.0,11,8844481.102,4369996.853994491,363,0.03889746598194542,-1.441169318574772
88,1,1.0,"Flagged due to: high 24-hour transaction volume sum (52,621,512.00), and high 24-hour transaction count (10 transfers), and sudden transaction volume spike (24h sum is 73.9% of 7d sum).","SUM_AMOUNT_24H (+2.1254), COUNT_24H (+1.6325), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6326)","COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6054), SUM_AMOUNT_24H × COUNT_24H (+0.5202), COUNT_24H × VELOCITY_RATIO_COUNT_24H_VS_7D (+0.5165)","SUM_AMOUNT_24H: 52,621,512.00 → 37,899,948.55 (-14,721,563.45), COUNT_24H: 10.00 → 5.00 (-5.00)",Transfer,Within_bank,2019-09-04,Wed,13,3,8299000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,52621512.0,10,71221512.0,11,8844481.102,4369996.853994491,363,0.03889746598194542,-1.441169318574772
88,1,1.0,"Flagged due to: high 24-hour transaction volume sum (53,936,512.00), and high 24-hour transaction count (11 transfers), and sudden transaction volume spike (24h sum is 72.2% of 7d sum).","SUM_AMOUNT_24H (+1.7851), COUNT_24H (+1.6987), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6793)","COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6886), COUNT_24H × VELOCITY_RATIO_COUNT_24H_VS_7D (+0.5697), SUM_AMOUNT_24H × COUNT_24H (+0.4542)","SUM_AMOUNT_24H: 53,936,512.00 → 49,499,996.12 (-4,436,515.88), COUNT_24H: 11.00 → 6.00 (-5.00), VELOCITY_RATIO_AMOUNT_24H_VS_7D: 0.72 → 0.66 (-0.06)",Transfer,Within_bank,2019-09-04,Wed,14,1,1845000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,53936512.0,11,74666512.0,13,8844481.102,4369996.853994491,363,0.03889746598194542,-1.441169318574772
