CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_7D,COUNT_7D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
9,1,0.8004457,"Flagged due to: significant transaction amount digit deviation from Benford's Law (score: 1.4543), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 6.0), and unusual activity in feature 'TRANS_LV1' (value: 0.0).","BENFORD_DEV (+4.3774), HIST_TRANS_COUNT (+0.5141), TRANS_LV1 (+0.3149)","BENFORD_DEV × SUM_AMOUNT_24H (+0.7128), HIST_TRANS_COUNT × SUM_AMOUNT_24H (+0.4475), BENFORD_DEV × TRANS_AMOUNT_Z_SCORE (+0.1968)",BENFORD_DEV: 1.45 → 1.29 (-0.17),Payment,Utilities_payment,2019-12-24,Tue,22,1,1044976.0,M,2019-09-30,1982-04-15,0,2019-10-01,BRANCH,1,SMART_OTP,1044976.0,1,1144976.0,2,4317108.59,1949162.6666666667,6,1.4543448206680314,-0.8819594110486128
88,1,0.51315254,"Flagged due to: unusual transaction sequence position (transaction number: 5), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and amount is 4.3x higher than customer's average transaction size.","TRANS_NO (+1.4212), HIST_TRANS_COUNT (+0.8416), TRANS_AMOUNT_Z_SCORE (+0.7580)","TRANS_NO × SUM_AMOUNT_24H (+0.4205), TRANS_NO × TRANS_AMOUNT_Z_SCORE (+0.3768), HIST_TRANS_COUNT × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.3712)","TRANS_NO: 5.00 → 4.00 (-1.00), HIST_TRANS_COUNT: 363.00 → 300.00 (-63.00), TRANS_AMOUNT_Z_SCORE: 4.26 → 3.88 (-0.37)",Transfer,Within_bank,2019-09-03,Tue,12,5,18600000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,18600000.0,1,18600000.0,1,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 6), and high 24-hour transaction volume sum (55,701,000.00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","TRANS_NO (+2.2444), SUM_AMOUNT_24H (+2.1083), HIST_TRANS_COUNT (+0.8857)","TRANS_NO × SUM_AMOUNT_24H (+0.6288), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5427), TRANS_NO × TRANS_AMOUNT_Z_SCORE (+0.4887)","SUM_AMOUNT_24H: 55,701,000.00 → 5,899,948.03 (-49,801,051.97)",Transfer,Within_bank,2019-09-03,Tue,16,6,18294000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,55701000.0,6,55701000.0,6,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.72370905,"Flagged due to: high 24-hour transaction volume sum (52,621,512.00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and unusual transaction sequence position (transaction number: 3).","SUM_AMOUNT_24H (+1.6630), HIST_TRANS_COUNT (+0.6950), TRANS_NO (+0.5749)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.4909), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.3829), HIST_TRANS_COUNT × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.3143)","SUM_AMOUNT_24H: 52,621,512.00 → 49,499,980.30 (-3,121,531.70), HIST_TRANS_COUNT: 363.00 → 300.00 (-63.00)",Transfer,Within_bank,2019-09-04,Wed,13,3,8299000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,52621512.0,10,71221512.0,11,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.6293887,"Flagged due to: high 24-hour transaction volume sum (77,545,000.00), and amount is 11.4x higher than customer's average transaction size, and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","SUM_AMOUNT_24H (+1.8426), TRANS_AMOUNT_Z_SCORE (+0.9698), HIST_TRANS_COUNT (+0.6054)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.7041), SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (+0.4820), HIST_AVG_TRANS_AMOUNT × TRANS_AMOUNT_Z_SCORE (+0.3697)","SUM_AMOUNT_24H: 77,545,000.00 → 49,499,927.47 (-28,045,072.53), TRANS_AMOUNT_Z_SCORE: 11.44 → 5.91 (-5.53), HIST_TRANS_COUNT: 363.00 → 300.00 (-63.00)",Transfer,Outside_bank,2019-10-02,Wed,8,1,50000000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,77545000.0,7,125973222.0,23,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: high 24-hour transaction volume sum (90,940,000.00), and unusual transaction sequence position (transaction number: 4), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","SUM_AMOUNT_24H (+1.9077), TRANS_NO (+1.1004), HIST_TRANS_COUNT (+0.6636)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5931), HIST_TRANS_COUNT × TRANS_AMOUNT_Z_SCORE (+0.2630), TRANS_NO × TRANS_AMOUNT_Z_SCORE (+0.2537)","SUM_AMOUNT_24H: 90,940,000.00 → 37,899,935.24 (-53,040,064.76), TRANS_NO: 4.00 → 3.00 (-1.00)",Transfer,Within_bank,2019-10-02,Wed,16,4,13136000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,90940000.0,9,145371000.0,27,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 12), and high 24-hour transaction volume sum (51,651,430.00), and amount is 6.7x higher than customer's average transaction size.","TRANS_NO (+3.1093), SUM_AMOUNT_24H (+2.3487), TRANS_AMOUNT_Z_SCORE (+0.9392)","TRANS_NO × SUM_AMOUNT_24H (+0.9264), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5995), SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (+0.4518)","TRANS_NO: 12.00 → 3.00 (-9.00), SUM_AMOUNT_24H: 51,651,430.00 → 14,499,971.67 (-37,151,458.33)",Transfer,Within_bank,2019-10-17,Thu,20,12,29488980.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,51651430.0,6,94366430.0,27,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: high 24-hour transaction volume sum (80,193,030.00), and unusual transaction sequence position (transaction number: 6), and amount is 6.1x higher than customer's average transaction size.","SUM_AMOUNT_24H (+2.2427), TRANS_NO (+2.1037), TRANS_AMOUNT_Z_SCORE (+1.1724)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.6753), TRANS_NO × SUM_AMOUNT_24H (+0.5641), SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (+0.4970)","SUM_AMOUNT_24H: 80,193,030.00 → 14,499,929.98 (-65,693,100.02)",Transfer,Within_bank,2019-10-18,Fri,9,6,26841600.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,80193030.0,8,118012030.0,27,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.7078027,"Flagged due to: unusual transaction sequence position (transaction number: 6), and high 24-hour transaction volume sum (63,895,520.00), and high historical average transaction size (4,369,996.85).","TRANS_NO (+1.9009), SUM_AMOUNT_24H (+1.7600), HIST_AVG_TRANS_AMOUNT (+0.3534)","TRANS_NO × SUM_AMOUNT_24H (+0.5001), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.4591), TRANS_NO × ACTIVITY_SEQ_RARITY (+0.2890)","SUM_AMOUNT_24H: 63,895,520.00 → 49,499,991.97 (-14,395,528.03)",Transfer,Within_bank,2019-10-19,Sat,9,6,9229520.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,63895520.0,10,143649950.0,31,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 6), and high 24-hour transaction volume sum (52,984,600.00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","TRANS_NO (+2.0458), SUM_AMOUNT_24H (+2.0226), HIST_TRANS_COUNT (+0.4946)","TRANS_NO × SUM_AMOUNT_24H (+0.5969), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5491), TRANS_NO × ACTIVITY_SEQ_RARITY (+0.3118)","TRANS_NO: 6.00 → 3.00 (-3.00), SUM_AMOUNT_24H: 52,984,600.00 → 19,999,997.40 (-32,984,602.60)",Transfer,Within_bank,2019-10-19,Sat,10,6,12726680.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,52984600.0,11,159580630.0,33,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
