CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_7D,COUNT_7D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
9,1,0.65390885,"Flagged due to: significant transaction amount digit deviation from Benford's Law (score: 1.4543), and transaction occurred at off-hour (22:00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 6.0).","BENFORD_DEV (+3.8130), TRANS_HOUR (+0.4547), HIST_TRANS_COUNT (+0.4339)","HIST_AVG_TRANS_AMOUNT × BENFORD_DEV (-0.5697), BENFORD_DEV × SUM_AMOUNT_24H (+0.4705), HIST_TRANS_COUNT × SUM_AMOUNT_24H (+0.3767)",BENFORD_DEV: 1.45 → 1.29 (-0.17),Payment,Utilities_payment,2019-12-24,Tue,22,1,1044976.0,M,2019-09-30,1982-04-15,0,2019-10-01,BRANCH,1,SMART_OTP,1044976.0,1,1144976.0,2,4317108.59,1949162.6666666667,6,1.4543448206680314,-0.8819594110486128
68,1,0.62662745,"Flagged due to: amount is 20.7x higher than customer's average transaction size, and high 24-hour transaction volume sum (53,562,000.00), and high historical average transaction size (2,419,415.57).","TRANS_AMOUNT_Z_SCORE (+2.0202), SUM_AMOUNT_24H (+1.5512), HIST_AVG_TRANS_AMOUNT (+0.3579)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.7316), HIST_TRANS_COUNT × TRANS_AMOUNT_Z_SCORE (+0.3412), SUM_AMOUNT_7D × TRANS_AMOUNT_Z_SCORE (+0.2370)","TRANS_AMOUNT_Z_SCORE: 20.67 → 9.87 (-10.80), SUM_AMOUNT_24H: 53,562,000.00 → 49,499,960.35 (-4,062,039.65)",Transfer,Within_bank,2019-11-16,Sat,11,1,50000000.0,F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,53562000.0,3,86333655.0,15,2590897.7536363634,2419415.565217391,253,0.01946027971060948,-1.365798441234507
68,1,0.9702838,"Flagged due to: amount is 15.7x higher than customer's average transaction size, and high 24-hour transaction volume sum (91,642,000.00), and high historical average transaction size (2,419,415.57).","TRANS_AMOUNT_Z_SCORE (+2.0309), SUM_AMOUNT_24H (+1.7640), HIST_AVG_TRANS_AMOUNT (+0.4440)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.8185), SUM_AMOUNT_7D × TRANS_AMOUNT_Z_SCORE (+0.3439), HIST_TRANS_COUNT × TRANS_AMOUNT_Z_SCORE (+0.3190)","TRANS_AMOUNT_Z_SCORE: 15.74 → 5.91 (-9.83), SUM_AMOUNT_24H: 91,642,000.00 → 37,899,982.57 (-53,742,017.43)",Transfer,Within_bank,2019-11-16,Sat,14,2,38080000.0,F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,91642000.0,4,124413655.0,16,2590897.7536363634,2419415.565217391,253,0.01946027971060948,-1.365798441234507
88,1,0.722281,"Flagged due to: unusual transaction sequence position (transaction number: 5), and high 24-hour transaction volume sum (18,600,000.00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","TRANS_NO (+3.0047), SUM_AMOUNT_24H (+0.4535), HIST_TRANS_COUNT (+0.3366)","TRANS_NO × SUM_AMOUNT_24H (+0.7626), TRANS_NO × SUM_AMOUNT_7D (+0.2209), TRANS_NO × HIST_TRANS_COUNT (+0.2076)","TRANS_NO: 5.00 → 4.00 (-1.00), SUM_AMOUNT_24H: 18,600,000.00 → 5,999,994.96 (-12,600,005.04), HIST_TRANS_COUNT: 363.00 → 121.00 (-242.00)",Transfer,Within_bank,2019-09-03,Tue,12,5,18600000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,18600000.0,1,18600000.0,1,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 6), and high 24-hour transaction volume sum (55,701,000.00), and high historical average transaction size (4,369,996.85).","TRANS_NO (+2.8219), SUM_AMOUNT_24H (+1.7582), HIST_AVG_TRANS_AMOUNT (+0.6478)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.9151), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.3311), TRANS_NO × SUM_AMOUNT_7D (+0.2719)","TRANS_NO: 6.00 → 2.00 (-4.00), SUM_AMOUNT_24H: 55,701,000.00 → 5,899,948.03 (-49,801,051.97)",Transfer,Within_bank,2019-09-03,Tue,16,6,18294000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,55701000.0,6,55701000.0,6,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.6878033,"Flagged due to: high 24-hour transaction volume sum (52,621,512.00), and unusual transaction sequence position (transaction number: 3), and high 24-hour transaction count (10 transfers).","SUM_AMOUNT_24H (+1.6312), TRANS_NO (+1.0736), COUNT_24H (+0.5643)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.8170), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.3944), TRANS_NO × SUM_AMOUNT_24H (-0.1855)","SUM_AMOUNT_24H: 52,621,512.00 → 49,499,980.30 (-3,121,531.70), TRANS_NO: 3.00 → 2.00 (-1.00), COUNT_24H: 10.00 → 5.00 (-5.00)",Transfer,Within_bank,2019-09-04,Wed,13,3,8299000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,52621512.0,10,71221512.0,11,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.56693166,"Flagged due to: high 24-hour transaction volume sum (77,545,000.00), and amount is 11.4x higher than customer's average transaction size, and high historical average transaction size (4,369,996.85).","SUM_AMOUNT_24H (+1.7211), TRANS_AMOUNT_Z_SCORE (+1.4239), HIST_AVG_TRANS_AMOUNT (+0.3866)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.7260), SUM_AMOUNT_7D × TRANS_AMOUNT_Z_SCORE (+0.2075), TRANS_AMOUNT_Z_SCORE × TRANS_LV1 (-0.1326)","SUM_AMOUNT_24H: 77,545,000.00 → 49,499,927.47 (-28,045,072.53), TRANS_AMOUNT_Z_SCORE: 11.44 → 9.87 (-1.58)",Transfer,Outside_bank,2019-10-02,Wed,8,1,50000000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,77545000.0,7,125973222.0,23,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 4), and high 24-hour transaction volume sum (90,940,000.00), and high historical average transaction size (4,369,996.85).","TRANS_NO (+1.8272), SUM_AMOUNT_24H (+1.7185), HIST_AVG_TRANS_AMOUNT (+0.5982)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.8932), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.2367), TRANS_NO × TRANS_AMOUNT_Z_SCORE (+0.1936)","TRANS_NO: 4.00 → 2.00 (-2.00), SUM_AMOUNT_24H: 90,940,000.00 → 16,112,949.87 (-74,827,050.13)",Transfer,Within_bank,2019-10-02,Wed,16,4,13136000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,90940000.0,9,145371000.0,27,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.41845798,"Flagged due to: high 24-hour transaction volume sum (55,566,156.00), and unusual transaction sequence position (transaction number: 3), and high historical average transaction size (4,369,996.85).","SUM_AMOUNT_24H (+1.5604), TRANS_NO (+0.9758), HIST_AVG_TRANS_AMOUNT (+0.4745)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.7982), TRANS_NO × SUM_AMOUNT_24H (-0.2025), TRANS_NO × TRANS_LV2 (+0.1216)","SUM_AMOUNT_24H: 55,566,156.00 → 49,499,948.09 (-6,066,207.91)",Transfer,Within_bank,2019-10-03,Thu,11,3,10978956.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,55566156.0,9,182729156.0,33,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.7296439,"Flagged due to: unusual transaction sequence position (transaction number: 4), and high 24-hour transaction volume sum (61,988,956.00), and high historical average transaction size (4,369,996.85).","TRANS_NO (+1.7380), SUM_AMOUNT_24H (+1.6044), HIST_AVG_TRANS_AMOUNT (+0.5141)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.8076), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.2095), TRANS_NO × HIST_TRANS_COUNT (+0.1523)","SUM_AMOUNT_24H: 61,988,956.00 → 37,899,967.31 (-24,088,988.69)",Transfer,Within_bank,2019-10-03,Thu,14,4,6846000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,61988956.0,10,185975156.0,33,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
